month,district_id,type_group,dtp_count,dead_total,injured_total,children_dead,children_injured,avg_risk_score
1,106,Наезд на препятствие,3,0,4,0,0,0.05314291047010186
1,106,Наезд на стоящее ТС,2,0,4,0,0,0.07493143642445597
1,106,Столкновение,5,0,5,0,0,0.06381249875780418
1,107,Наезд на пешехода,1,0,1,0,0,0.014885015399189619
1,107,Наезд на стоящее ТС,1,0,1,0,0,0.0018373019244180783
1,107,Столкновение,3,0,4,0,0,0.007734902253745177
1,108,Наезд на пешехода,7,0,7,0,1,0.025247106967092002
1,108,Наезд на препятствие,1,0,1,0,0,0.010371540023764572
1,108,Наезд на стоящее ТС,2,0,3,0,0,0.008717624516344662
1,108,Прочее,1,0,1,0,0,0.13080959809579631
1,108,Столкновение,10,0,11,0,0,0.020426638455084373
1,109,Наезд на пешехода,3,0,4,0,1,0.01789933659109835
1,109,Падение пассажира,1,0,1,0,0,0.011267287508526548
1,109,Столкновение,2,0,2,0,0,0.022240994813835995
1,110,Наезд на пешехода,11,2,10,0,3,0.015762636576130078
1,110,Падение пассажира,1,0,1,0,0,0.0105109331330563
1,110,Столкновение,15,0,20,0,1,0.013476030375767323
1,111,Наезд на велосипедиста,1,0,1,0,0,0.009107694792940135
1,111,Наезд на пешехода,12,0,12,0,3,0.0392781004334788
1,111,Наезд на препятствие,6,0,9,0,0,0.020041279604204886
1,111,Наезд на стоящее ТС,5,0,10,0,1,0.030287615768287434
1,111,Столкновение,25,0,27,0,2,0.02366387571729117
1,113,Наезд на велосипедиста,1,0,1,0,0,0.010242226356145506
1,113,Наезд на пешехода,13,1,14,0,2,0.025671969975420265
1,113,Падение пассажира,2,0,2,0,0,0.04522039504159034
1,113,Столкновение,2,0,2,0,0,0.003034845779823947
1,114,Наезд на пешехода,16,0,17,0,1,0.021838374657591433
1,114,Наезд на препятствие,4,0,5,0,0,0.05470814579453879
1,114,Наезд на стоящее ТС,3,0,5,0,0,0.09940779019122552
1,114,Падение пассажира,2,0,2,0,0,0.01148558576051624
1,114,Столкновение,13,0,20,0,3,0.03737895444857665
1,115,Наезд на пешехода,11,0,11,0,0,0.05414714443365179
1,115,Наезд на стоящее ТС,3,0,4,0,0,0.045716102734041614
1,115,Падение пассажира,2,0,2,0,0,0.007485515631175308
1,115,Столкновение,3,0,5,0,0,0.021651575573601752
