dtp_id,temp_c,feels_like_c,precipitation_type,precipitation_mm,snow_depth_cm,wind_speed_ms,wind_gust_ms,humidity_pct,pressure_hpa,visibility_m,sunrise_ts,sunset_ts,daylight_minutes,is_twilight,is_dark,is_daylight,day_of_week,is_weekend,is_holiday,holiday_name,season,ice_risk,low_visibility_flag,bad_weather_flag,dark_without_lights_flag
414909627,0.0,-4.606759,none,0.0,7.0,15.408671,24.84,88.97638,1003.71857,,2020-01-08 08:56:56.914582,2020-01-08 16:15:57.464325,439.0091623833333,1,0,0,2,0,1,Новогодние каникулы,winter,1,0,1,0
414915027,-0.4,-5.7194834,none,0.0,6.0,19.373219,37.44,85.08387,994.4663,,2020-01-08 08:57:11.109246,2020-01-08 16:17:57.258241,440.76914991666666,0,1,0,2,0,1,Новогодние каникулы,winter,1,0,1,1
415044427,0.0,-4.6256833,snow,0.1,6.0,15.778516,25.199999,90.62434,1005.811,,2020-01-08 08:56:17.334743,2020-01-08 16:15:56.653177,439.65530723333336,0,0,1,2,0,1,Новогодние каникулы,winter,1,0,1,0
415084827,-0.55,-5.606167,none,0.0,5.0,17.974781,30.960001,88.92904,1004.74286,,2020-01-08 08:55:26.502482,2020-01-08 16:15:48.329825,440.36378905000004,0,1,0,2,0,1,Новогодние каникулы,winter,1,0,1,1
415193427,-0.2,-5.9584827,none,0.0,7.0,22.473343,41.760002,84.47912,997.58185,,2020-01-08 08:57:19.134696,2020-01-08 16:14:55.200460,437.6010960666666,0,1,0,2,0,1,Новогодние каникулы,winter,1,0,1,1
415360627,-0.65,-5.7128816,none,0.0,5.0,17.974781,31.68,89.24941,996.764,,2020-01-08 08:55:39.113308,2020-01-08 16:16:46.103422,441.1165019,1,0,0,2,0,1,Новогодние каникулы,winter,1,0,1,0
415372627,0.15,-4.8332148,none,0.0,5.0,17.84816,32.039997,87.048935,999.12244,,2020-01-08 08:55:24.332898,2020-01-08 16:16:30.527281,441.1032397166666,0,0,1,2,0,1,Новогодние каникулы,winter,1,0,1,0
415054427,1.3,-3.2606018,none,0.0,6.0,16.595179,31.319998,90.39078,989.65454,,2020-01-02 08:59:40.102654,2020-01-02 16:06:57.680886,427.29297053333335,0,1,0,3,0,1,Новогодние каникулы,winter,1,0,1,1
414521027,1.4,-3.2707381,none,0.0,5.0,17.992796,28.44,93.72924,995.81335,,2020-01-03 08:59:23.236220,2020-01-03 16:08:54.232137,429.51659861666667,0,1,0,4,0,1,Новогодние каникулы,winter,1,0,1,1
414485227,1.45,-3.1793609,none,0.0,5.0,17.654688,29.16,93.05722,995.1738,,2020-01-03 08:58:50.691626,2020-01-03 16:08:50.468798,429.9962862,0,1,0,4,0,1,Новогодние каникулы,winter,1,0,1,1
